agreement_all,kappa_all,agreement_test,test_c0,test_c1,test_c2,MLP_acc,MLP_macro_f1,GCN_acc,GCN_macro_f1,mlp_beats_gcn,kind,config,w_curitiba_dep,w_to_curitiba,w_time_min,w_distance_km
0.8160919540229885,0.6817058008088834,0.8275862068965517,34,44,9,0.9770114942528736,0.9589147286821704,0.8804597701149424,0.8106418563186824,True,random_weights,dirichlet_06,0.39034466808734636,0.09292507872991655,0.10068414878895443,0.4160461043937826
0.8247126436781609,0.6983587921847247,0.8275862068965517,36,40,11,0.9701149425287356,0.9619131261611127,0.8965517241379309,0.8770531091306382,True,random_weights,dirichlet_07,0.49536268097546354,0.09287525439877223,0.06051618296995935,0.35124588165580484
0.7327586206896551,0.5073222712741665,0.6781609195402298,54,29,4,0.9770114942528736,0.9480000970826659,0.8390804597701148,0.7646272736517348,True,random_weights,dirichlet_08,0.14652654891777658,0.23263686907083103,0.28545186211342544,0.33538471989796675
0.7902298850574713,0.6462281886671587,0.7931034482758621,35,39,13,1.0,1.0,0.8804597701149426,0.8452064785959494,True,random_weights,dirichlet_09,0.5162589338392383,0.027096518733070413,0.2584327618248082,0.19821178560288305
0.8908045977011494,0.8081615481699621,0.896551724137931,41,36,10,0.9885057471264368,0.9913185636168894,0.8896551724137931,0.8374754599106993,True,random_weights,dirichlet_10,0.5017535083586557,0.1583447529128556,0.12389774916694181,0.21600398956154693
0.7097701149425287,0.4649413913837722,0.6666666666666666,55,28,4,0.9839080459770114,0.9533414529744805,0.8551724137931036,0.7753653887119986,True,random_weights,dirichlet_11,0.09570772694852347,0.26990271071958527,0.03838237226033009,0.5960071900715612
0.8218390804597702,0.6909413854351687,0.8275862068965517,34,44,9,0.9885057471264368,0.978624722726356,0.8597701149425288,0.7827180227180228,True,random_weights,dirichlet_12,0.3735369554914187,0.09048228499841136,0.5183297243432279,0.017651035166942115
0.6666666666666666,0.3886785595299391,0.6091954022988506,54,27,6,0.9747126436781608,0.9529143147701093,0.8068965517241379,0.7675123721933306,True,random_weights,dirichlet_13,0.12281690963091076,0.13059597976807027,0.335468151682328,0.41111895891869094
0.6724137931034483,0.4103272986711852,0.6436781609195402,50,29,8,0.9586206896551724,0.9098885010382821,0.8367816091954022,0.784369878795868,True,random_weights,dirichlet_14,0.16981969020098112,0.03946638906044305,0.6330867144218891,0.15762720631668672
0.6954022988505747,0.4037050208528661,0.6091954022988506,64,23,0,0.9770114942528736,0.9712301587301587,0.9172413793103449,0.8955460004864433,True,random_weights,dirichlet_15,0.0711043801175065,0.48285928776142106,0.18563387455070943,0.26040245757036284
0.7528735632183908,0.5360863095238095,0.6781609195402298,56,27,4,0.9885057471264368,0.990936390936391,0.8827586206896552,0.8383463769194002,True,random_weights,dirichlet_16,0.13530045421147133,0.27673802638804407,0.5359487993007529,0.05201272009973168
0.7471264367816092,0.5232431422611078,0.6666666666666666,56,28,3,0.9770114942528736,0.9374731874731875,0.8896551724137931,0.8569878758558005,True,random_weights,dirichlet_17,0.1371063993528395,0.33392870344502545,0.10026122655755562,0.4287036706445795
0.7442528735632183,0.5221255323088316,0.6666666666666666,55,28,4,1.0,1.0,0.8735632183908045,0.8319455275333401,True,random_weights,dirichlet_18,0.10883318327116724,0.27607750858418784,0.4334509459065855,0.18163836223805957
0.646551724137931,0.35479786560549875,0.5862068965517241,50,31,6,0.9517241379310345,0.9375350286990539,0.8367816091954022,0.7877656038518399,True,random_weights,dirichlet_19,0.1267561532031652,0.10233687477342622,0.012381021489851393,0.7585259505335573
0.8390804597701149,0.7175938672888258,0.8160919540229885,36,43,8,0.9655172413793103,0.9593429629962547,0.8735632183908046,0.7996820191890304,True,random_weights,dirichlet_20,0.3366091350356801,0.10518170313302591,0.35368064270262956,0.20452851912866452
0.6149425287356322,0.2456566048723673,0.5747126436781609,61,26,0,1.0,1.0,0.9494252873563219,0.9418167575196488,True,random_weights,dirichlet_21,0.0036500040335817083,0.4150996212546994,0.4282310588678984,0.1530193158438204
0.6494252873563219,0.34173682496860325,0.5977011494252874,54,30,3,0.9885057471264368,0.9467312348668282,0.9241379310344827,0.8085283631680049,True,random_weights,dirichlet_22,0.0015443887844975206,0.31635551889412566,0.24164643349840945,0.44045365882296733
0.6867816091954023,0.40560361037984205,0.632183908045977,57,27,3,0.9885057471264368,0.9460916442048518,0.9287356321839081,0.8820888830509344,True,random_weights,dirichlet_23,0.005224409870114603,0.3297022714143447,0.3016708635025613,0.36340245521297926
0.8074712643678161,0.6682082734478392,0.8160919540229885,34,43,10,0.9770114942528736,0.9617604617604618,0.8597701149425288,0.7841858848338806,True,random_weights,dirichlet_24,0.40583548485425236,0.06415755610444748,0.4342608934793197,0.09574606556198048
0.7442528735632183,0.5039797568905047,0.6551724137931034,58,29,0,0.9770114942528736,0.9741379310344828,0.8735632183908045,0.6343448277085371,True,random_weights,dirichlet_25,0.16248857399497216,0.3833992968314494,0.22357055643655466,0.2305415727370237
0.603448275862069,0.28484631879914224,0.5747126436781609,57,21,9,1.0,1.0,0.8827586206896554,0.8457185906553691,True,random_weights,dirichlet_26,0.02220305569656597,0.15193841929680035,0.8066790026606104,0.019179522346023322
0.7873563218390804,0.6379535773032097,0.7931034482758621,34,41,12,0.9885057471264368,0.982551440329218,0.8873563218390805,0.846047337610097,True,random_weights,dirichlet_27,0.3989114201911279,0.004078810369048869,0.43933088060021563,0.15767888883960748
0.7931034482758621,0.6463564381589533,0.8160919540229885,34,43,10,0.9540229885057471,0.9281842818428185,0.8965517241379312,0.8554025000410326,True,random_weights,dirichlet_28,0.4377719334809914,0.06440031153552372,0.4153386173444095,0.08248913763907526
0.8879310344827587,0.7883508771929825,0.8390804597701149,51,33,3,0.9977011494252874,0.9983449091177775,0.9080459770114941,0.9350941155117767,True,random_weights,dirichlet_29,0.2851934001387632,0.4154414920109771,0.21284248132159725,0.08652262652866241
0.7155172413793104,0.5547859348952613,0.7126436781609196,37,26,24,0.9540229885057471,0.95325412176476,0.8068965517241379,0.7862355099235672,True,thresholds,"(0.25, 0.5)",,,,
1.0,1.0,1.0,43,39,5,0.9862068965517242,0.9835885697954664,0.9195402298850575,0.8257936507936507,True,thresholds,"(0.33, 0.66)",,,,
0.9339080459770115,0.8759454432734036,0.8735632183908046,52,32,3,0.9862068965517242,0.9454175656238762,0.8873563218390805,0.8740883905604402,True,thresholds,"(0.4, 0.7)",,,,
0.9109195402298851,0.8436159109358692,0.9425287356321839,42,36,9,0.9885057471264368,0.977761304670126,0.92183908045977,0.8879541074145869,True,thresholds,"(0.3, 0.6)",,,,
