accuracy,macro_p,macro_r,macro_f1,weighted_f1,f1_c0,f1_c1,f1_c2,recall_c2,model,run
0.7586206896551724,0.8353276353276353,0.7138143510236533,0.7560007742934571,0.7583503544395049,0.7560975609756098,0.7619047619047619,0.75,0.6,GCN (shuffled-edge),9
0.7586206896551724,0.8450226244343891,0.5928046114092625,0.6264679964752062,0.7480369164132185,0.7789473684210526,0.7671232876712328,0.3333333333333333,0.2,GCN (shuffled-edge),10
0.7701149425287356,0.7068452380952381,0.7239515006956867,0.7047474747474748,0.7701532567049808,0.7733333333333333,0.7954545454545454,0.5454545454545454,0.6,GCN (shuffled-edge),11
0.6551724137931034,0.4369318181818182,0.45855694692904,0.4420810577752228,0.6283018306885649,0.7346938775510204,0.5915492957746479,0.0,0.0,GCN (shuffled-edge),12
0.7471264367816092,0.7262286324786325,0.6415821904193998,0.668075117370892,0.7398251578436134,0.8,0.704225352112676,0.5,0.4,GCN (shuffled-edge),13
0.6781609195402298,0.7766381766381767,0.6539852911945935,0.6985236985236986,0.6786833855799373,0.7045454545454546,0.6410256410256411,0.75,0.6,GCN (shuffled-edge),14
0.7701149425287356,0.8447058823529412,0.7175909361955873,0.7618083173761477,0.7679812509417702,0.7956989247311828,0.7397260273972602,0.75,0.6,GCN (shuffled-edge),15
0.7471264367816092,0.8382819794584501,0.5906181673623534,0.6182336182336182,0.7353374594753904,0.7435897435897436,0.7777777777777778,0.3333333333333333,0.2,GCN (shuffled-edge),16
0.735632183908046,0.7138085334341716,0.6370105346849533,0.6641472868217054,0.7330459770114942,0.7674418604651163,0.725,0.5,0.4,GCN (shuffled-edge),17
0.7241379310344828,0.7313953488372092,0.6873782548201154,0.7065711575573218,0.7238954362481208,0.7441860465116279,0.7088607594936709,0.6666666666666666,0.6,GCN (shuffled-edge),18
0.7126436781609196,0.6778582930756843,0.6772411051480819,0.6769038701622971,0.7109647423479272,0.7640449438202247,0.6666666666666666,0.6,0.6,GCN (shuffled-edge),19
0.7586206896551724,0.8356481481481483,0.7106340687736036,0.7552991452991454,0.7580106100795757,0.7692307692307693,0.7466666666666667,0.75,0.6,GCN (shuffled-edge),20
0.7931034482758621,0.8583333333333334,0.6773603657324587,0.7248068387308892,0.7890408732835622,0.8181818181818182,0.7848101265822784,0.5714285714285714,0.4,GCN (shuffled-edge),21
0.7931034482758621,0.8586194167589517,0.6781554362949711,0.7251685055302627,0.7893328468041112,0.813953488372093,0.7901234567901234,0.5714285714285714,0.4,GCN (shuffled-edge),22
0.7701149425287356,0.8392087739913827,0.7773007354402703,0.8040826160282103,0.7701323134345831,0.7865168539325843,0.7368421052631579,0.8888888888888888,0.8,GCN (shuffled-edge),23
0.7471264367816092,0.6790736145574855,0.6415821904193998,0.6529100529100529,0.741142127349024,0.8,0.7142857142857143,0.4444444444444444,0.4,GCN (shuffled-edge),24
0.735632183908046,0.7272727272727272,0.6409858874975155,0.6641325536062378,0.7316192780802581,0.7368421052631579,0.7555555555555555,0.5,0.4,GCN (shuffled-edge),25
0.7586206896551724,0.7115115115115116,0.7106340687736036,0.7107655502392345,0.757946983446076,0.7954545454545454,0.7368421052631579,0.6,0.6,GCN (shuffled-edge),26
0.6666666666666666,0.7716462281679674,0.5873186245279268,0.6363611419791195,0.6645080349071051,0.6966292134831461,0.6410256410256411,0.5714285714285714,0.4,GCN (shuffled-edge),27
0.8045977011494253,0.8674924924924925,0.6843172331544425,0.7320223636013109,0.7995253385453023,0.8351648351648352,0.7894736842105263,0.5714285714285714,0.4,GCN (shuffled-edge),28
0.6896551724137931,0.7855089131684876,0.6617372291790896,0.7063352826510721,0.6894904886737918,0.7111111111111111,0.6578947368421053,0.75,0.6,GCN (shuffled-edge),29
0.8390804597701149,0.8965452847805789,0.6494533889882727,0.6811705322343621,0.8258963291978699,0.8723404255319149,0.8378378378378378,0.3333333333333333,0.2,GCN (edge-weighted),0
0.9080459770114943,0.7783314876338133,0.7015305108328365,0.7180728162640307,0.8967949887490116,0.9302325581395349,0.9382716049382716,0.2857142857142857,0.2,GCN (edge-weighted),1
0.8850574712643678,0.9220779220779219,0.6844364937388194,0.7139208173690932,0.872109922050469,0.9195402298850575,0.8888888888888888,0.3333333333333333,0.2,GCN (edge-weighted),2
0.896551724137931,0.7703949796973052,0.692983502285828,0.7098423635891336,0.8857264489448397,0.9302325581395349,0.9135802469135802,0.2857142857142857,0.2,GCN (edge-weighted),3
0.896551724137931,0.7714604236343368,0.6921884317233156,0.7100465077993169,0.8855925167432335,0.9213483146067416,0.9230769230769231,0.2857142857142857,0.2,GCN (edge-weighted),4
0.9195402298850575,0.7860834256183095,0.7092824488173326,0.7258247542485269,0.9082892416225748,0.9534883720930233,0.9382716049382716,0.2857142857142857,0.2,GCN (edge-weighted),5
0.8620689655172413,0.9075292397660819,0.6665474060822898,0.6971916971916973,0.848764262557366,0.9010989010989011,0.8571428571428571,0.3333333333333333,0.2,GCN (edge-weighted),6
0.8390804597701149,0.738562091503268,0.6494533889882727,0.669123259913117,0.8283045677893867,0.8723404255319149,0.8493150684931506,0.2857142857142857,0.2,GCN (edge-weighted),7
0.8620689655172413,0.7511337868480726,0.6665474060822898,0.6856728778467908,0.8514328550010709,0.8913043478260869,0.88,0.2857142857142857,0.2,GCN (edge-weighted),8
0.8505747126436781,0.7418745275888133,0.6580003975352813,0.676783988957902,0.8394788320125651,0.8913043478260869,0.8533333333333334,0.2857142857142857,0.2,GCN (edge-weighted),9
0.896551724137931,0.7714604236343368,0.6921884317233156,0.7100465077993169,0.8855925167432335,0.9213483146067416,0.9230769230769231,0.2857142857142857,0.2,GCN (edge-weighted),10
0.8735632183908046,0.7603930461073318,0.6750944146292984,0.6945617667356797,0.8633868779895766,0.8913043478260869,0.9066666666666666,0.2857142857142857,0.2,GCN (edge-weighted),11
0.896551724137931,0.7714604236343368,0.6921884317233156,0.7100465077993169,0.8855925167432335,0.9213483146067416,0.9230769230769231,0.2857142857142857,0.2,GCN (edge-weighted),12
0.8390804597701149,0.6883660130718954,0.6494533889882727,0.6603451662002259,0.8308881168489255,0.8817204301075269,0.8493150684931506,0.25,0.2,GCN (edge-weighted),13
0.8735632183908046,0.9147117657755955,0.6750944146292984,0.7054131054131054,0.8602809706257982,0.9111111111111111,0.8717948717948718,0.3333333333333333,0.2,GCN (edge-weighted),14
0.8850574712643678,0.7644643523702874,0.6836414231763069,0.7019721019721019,0.8742631570217777,0.9111111111111111,0.9090909090909091,0.2857142857142857,0.2,GCN (edge-weighted),15
0.896551724137931,0.7714604236343368,0.6921884317233156,0.7100465077993169,0.8855925167432335,0.9213483146067416,0.9230769230769231,0.2857142857142857,0.2,GCN (edge-weighted),16
0.9080459770114943,0.7780857354028085,0.7007354402703241,0.7177476737821565,0.8969230696638545,0.9425287356321839,0.925,0.2857142857142857,0.2,GCN (edge-weighted),17
0.8735632183908046,0.7647058823529411,0.674299344066786,0.6944802986773256,0.863383647311124,0.8936170212765957,0.9041095890410958,0.2857142857142857,0.2,GCN (edge-weighted),18
0.8275862068965517,0.7287581699346406,0.6409063804412641,0.659990839821793,0.8160230373217437,0.8723404255319149,0.821917808219178,0.2857142857142857,0.2,GCN (edge-weighted),19
0.8735632183908046,0.7556924225457261,0.6750944146292984,0.6933140933140933,0.8626196281368695,0.9111111111111111,0.8831168831168831,0.2857142857142857,0.2,GCN (edge-weighted),20
0.896551724137931,0.9336956521739129,0.6937785728483403,0.7224033388455785,0.8844470512204329,0.9397590361445783,0.8941176470588236,0.3333333333333333,0.2,GCN (edge-weighted),21
